invoice_id,vendor_id,vendor_name,amount,date,department,description
# This dataset is designed to trigger multiple anomalies when uploaded
# Upload this file and run "Commence AI Scan" to see flagged items

# 1. EXACT DUPLICATE - High risk (40 points)
INV-2024-DUP-001,V-001,ABC Corp,15000.00,2024-03-15,Operations,Office supplies
INV-2024-DUP-001,V-001,ABC Corp,15000.00,2024-03-15,Operations,Office supplies

# 2. VENDOR PAYMENT SPIKE - Medium risk (15 points)
# Vendor normally spends $10k-$20k per month, this is $85k in March
INV-2024-SPIKE-001,V-001,ABC Corp,45000.00,2024-03-18,Operations,Bulk order
INV-2024-SPIKE-002,V-001,ABC Corp,40000.00,2024-03-20,HR,Training program

# 3. ROUND NUMBER - Low risk (15 points)
INV-2024-ROUND-001,V-004,New Vendor Inc,100000.00,2024-03-22,IT,Enterprise software

# 4. WEEKEND POSTING - Low risk (10 points) - Saturday
INV-2024-WKND-001,V-002,XYZ Ltd,12000.00,2024-03-23,IT,Weekend support

# 5. RAPID REPEAT PAYMENTS - Medium risk (15 points) - 3 payments in 24 hours
INV-2024-RAPID-001,V-003,Tech Solutions,15000.00,2024-03-24,Operations,Software A
INV-2024-RAPID-002,V-003,Tech Solutions,18000.00,2024-03-24,Operations,Software B
INV-2024-RAPID-003,V-003,Tech Solutions,22000.00,2024-03-24,IT,Hardware

# 6. THRESHOLD AVOIDANCE - Medium risk (25 points) - Just below $10,000
INV-2024-THRESH-001,V-005,Threshold Vendor,9999.99,2024-03-25,Finance,Consulting

# 7. DORMANT VENDOR - Medium risk (15 points) - Reactivated after long time
INV-2024-DORM-001,V-006,Old Vendor Co,8500.00,2024-03-26,Finance,Reactivated services

# 8. UNUSUAL AMOUNT - Medium risk (20 points) - Statistical outlier
INV-2024-OUTLIER-001,V-002,XYZ Ltd,45000.00,2024-03-27,IT,Major upgrade

# 9. TEMPORAL CLUSTERING - Medium risk (10 points) - 5 transactions in 3 days
INV-2024-CLUSTER-001,V-007,Cluster Vendor,12000.00,2024-03-28,Operations,Service 1
INV-2024-CLUSTER-002,V-007,Cluster Vendor,15000.00,2024-03-28,Operations,Service 2
INV-2024-CLUSTER-003,V-007,Cluster Vendor,18000.00,2024-03-29,Operations,Service 3
INV-2024-CLUSTER-004,V-007,Cluster Vendor,22000.00,2024-03-29,Operations,Service 4
INV-2024-CLUSTER-005,V-007,Cluster Vendor,25000.00,2024-03-30,Operations,Service 5

# 10. QUARTER-END SPIKE - Low risk (8 points) - End of Q1
INV-2024-QEND-001,V-008,Q1 Vendor,48000.00,2024-03-28,Finance,Q1 closing
INV-2024-QEND-002,V-008,Q1 Vendor,52000.00,2024-03-29,Finance,Q1 adjustments

# 11. CONCENTRATION RISK - High risk (20 points) - Single vendor large spend
INV-2024-CONC-001,V-009,Dominant Vendor,125000.00,2024-03-30,Operations,Major contract

# 12. COMMON ROUND NUMBER - Low risk (15 points)
INV-2024-SMALL-001,V-010,Small Vendor,1000.00,2024-03-31,IT,Minor software